UniversityID,University,Lat,Lon
1,Carleton University,45.385858,-75.695004
2,Guelph University,43.532786,-80.224997
3,McMaster University,43.26394,-79.917825
4,Ottawa University,45.422527,-75.68339
5,Queens University,44.226349,-76.495756
6,Toronto Metropolitan University,43.658534,-79.378467
7,University of Toronto,43.663462,-79.39776
8,Ontario Tech University,43.948341,-78.898202
9,University of Waterloo,43.470199,-80.545243
10,Western University,43.005423,-81.274801
11,Wilfrid Laurier University ,43.472799,-80.528086
12,University of Windsor,42.305201,-83.066491
13,York University,43.774332,-79.50027
